respondent_id,segment_true,age_range,gender,country,income_bracket,respondent_role,heritage_connection,items_purchased_12m,items_purchased_12m_raw,buying_channels,product_interests,top_frustration,appeal_score,trust_factors,trust_count,membership_interest,nps_score,max_price_small_piece_usd,max_price_large_piece_usd,authenticity_premium_pct,future_purchases_per_year,main_purchase_blocker,top_wishlist_feature,wants_launch_notification,age_range_ordinal,income_bracket_ordinal,items_purchased_12m_ordinal,membership_interest_ordinal,segment_true_code,channel_Direct_from_artisans_travel,channel_Dont_currently_buy,channel_Galleries_or_exhibitions,channel_Local_boutiques,channel_Online_marketplaces,channel_Other,channel_no_response,interest_Furniture,interest_Home_decor,interest_Jewelry,interest_Pottery_ceramics,interest_Religious_spiritual_items,interest_Textiles_apparel,interest_Wall_art_paintings,interest_no_response,trust_Authentication_certification_per_piece,trust_Named_verified_artisan_profiles,trust_Personal_referral,trust_Recognized_brand_or_press_coverage,trust_Reviews_from_other_collectors,trust_Strong_return_refund_policy,trust_no_response,annual_spending_potential_usd,high_intent_customer,premium_buyer,high_trust_customer
R0522,Global Design & Decor Collector,45-54,Female,UK,$100-200K,Individual collector,Professional interest (design/retail),1-2,2,Local boutiques; Online marketplaces; Galleries or exhibitions,Furniture,Shipping/customs issues,4,Strong return/refund policy,1,"Yes, definitely",5,187.0,541.0,29.7,4.0,Trust/authenticity doubts,Financing/installment options,True,4,4.0,1,2,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,748.0,1,1,0
R0738,Gifting & Corporate Buyer,25-34,Female,UAE,$50-100K,Individual collector,Professional interest (design/retail),1-2,1,Online marketplaces,Textiles & apparel,Authenticity doubts,3,Reviews from other collectors,1,No,0,64.0,385.0,44.0,1.0,Trust/authenticity doubts,Financing/installment options,False,2,3.0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.0,0,0,0
R0741,Global Design & Decor Collector,25-34,Female,USA,$100-200K,Retailer or boutique owner,Professional interest (design/retail),1-2,1,Online marketplaces,Wall art & paintings; Furniture; Pottery & ceramics,Shipping/customs issues,4,Personal referral,1,"Yes, definitely",6,214.0,1017.0,26.6,2.0,Trust/authenticity doubts,Faster shipping,True,2,4.0,1,2,4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,428.0,0,1,0
R0661,Global Design & Decor Collector,45-54,Other,Germany,$50-100K,Interior designer or architect,"Strong personal interest, not Indian-origin",1-2,1,Local boutiques; Online marketplaces,Wall art & paintings,Pricing trust concerns,1,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Recognized brand or press coverage,4,"Yes, definitely",3,83.0,755.0,67.4,8.0,Price too high,Video story of the artisan,False,4,3.0,1,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,664.0,0,0,0
R0412,Collectors Circle Prospect,45-54,Male,UAE,$200K+,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,5,Local boutiques; Online marketplaces; Direct from artisans/travel,Home decor; Jewelry,Other/none,5,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",8,368.5,1505.0,44.7,7.0,Trust/authenticity doubts,Faster shipping,True,4,5.0,2,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2579.5,1,1,0
R0679,Collectors Circle Prospect,45-54,Male,Switzerland,$200K+,Retailer or boutique owner,Indian-origin,3-5,4,Online marketplaces; Direct from artisans/travel,Home decor; Wall art & paintings; Pottery & ceramics,Other/none,5,Named verified artisan profiles; Personal referral,2,"Yes, definitely",6,368.5,1200.0,56.6,7.0,Shipping/customs concerns,Sustainability certification,True,4,5.0,2,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2579.5,1,1,0
R0627,Global Design & Decor Collector,45-54,Female,Italy,$50-100K,Individual collector,No particular connection,3-5,4,Online marketplaces,Textiles & apparel,Authenticity doubts,4,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",8,100.0,217.0,46.9,2.0,Price too high,Nothing specific,True,4,3.0,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,200.0,0,0,0
R0514,Gifting & Corporate Buyer,25-34,Male,USA,$50-100K,Gift buyer (personal),Professional interest (design/retail),1-2,1,Online marketplaces,Jewelry; Pottery & ceramics,Inconsistent quality,4,Named verified artisan profiles; Reviews from other collectors,2,Possibly,6,54.0,296.0,35.5,2.0,Shipping/customs concerns,Video story of the artisan,True,2,3.0,1,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,108.0,0,0,0
R0860,Diaspora Heritage Buyer,18-24,Male,Canada,$50-100K,Retailer or boutique owner,No particular connection,0,0,Online marketplaces; Direct from artisans/travel,Home decor; Jewelry,Pricing trust concerns,4,Authentication/certification per piece; Named verified artisan profiles,2,"Yes, definitely",7,130.0,149.0,43.8,3.0,Trust/authenticity doubts,Financing/installment options,False,1,3.0,0,2,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,390.0,1,0,0
R0137,Global Design & Decor Collector,35-44,Male,UAE,$100-200K,Other,"Strong personal interest, not Indian-origin",1-2,2,Local boutiques; Direct from artisans/travel; Galleries or exhibitions,Textiles & apparel; Wall art & paintings; Pottery & ceramics,Authenticity doubts,5,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Recognized brand or press coverage,4,"Yes, definitely",8,165.0,808.0,69.5,8.0,Shipping/customs concerns,Local pickup or showroom,False,3,4.0,1,2,4,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1320.0,1,0,0
